id_work_company,work_company
741,라메르웨딩&베베스타
742,다시봄날의원
743,㈜조이웍스
744,아이비티에스코리아
745,제주애견카페왈 구억점
746,(주)풀무원푸드앤컬처
747,정푸드
748,주식회사 다인알엠씨
749,닥터에버스의원
750,비오비의원
751,롯데관광개발(주)
752,오즈동물병원
753,(주)무사이
754,(주)프리미엄패스인터내셔널
755,브릭화성물류센터(주)
756,(주)한국코아엔지니어링 대중음악박물관 카페
757,(주)어나더무드
758,제이엠피 인터네셔널
759,(주)젬백스링크
760,(주)신안관광
761,(주)여행노트앤투어
762,(주)유나스엔터테인먼트
763,주식회사이지종합관리
764,주식회사대승케이비엠
765,"(주)맥서브(Maxerve Co.,Ltd.)"
766,웅산산업개발(주)
767,누리에이치앤디주식회사
768,(주)명경수호
769,(주)케이에스지
770,주식회사한영파트너스에프에이치
771,유한책임회사 굿모닝대양
772,현대파인빌1차아파트 입주자대표회의
773,주식회사 원동
774,주식회사신원티엠씨(TMC)
775,주식회사영일에이치오엠
776,주식회사 우송
777,주식회사케이에스시큐리티
778,체크엠주식회사
779,주식회사 엔에이엠
780,한국주택시설관리(주)
781,주식회사청담관리
782,부천시보훈회관
783,한국공항보안 주식회사
784,록산에버그린주식회사
785,한라개발(주)
786,(주)에스텍시스템
787,주식회사 시큐원
788,(주)프로에스콤
789,(주)듀델코리아
790,"주식회사이도(YidoCo.,Ltd.)"
791,디티에스코리아주식회사
792,(주)지앤비시스템
793,주식회사 씨엔케이시스템
794,주식회사 씨에이치엠
795,주식회사비씨에스
796,(주)인화종합관리
797,창조기획 주식회사
798,(주)한성엠에스
799,(주)홍익에이드
800,초장재가노인복지센터
801,송이노인복지센터
802,새날주간보호센터
803,인천재활요양원
804,어울림재가복지센터
805,일심방문요양센터
806,은광재가복지센터
807,보사노인케어센터
808,주식회사신은빛노인요양센터
809,새날요양원
810,연세재가복지센터
811,송파한사랑재가센터
812,온유한재가복지센터
813,든든재가복지센터
814,하나재가복지센터
815,절영재가장기요양기관
816,하나복지센터
817,현대노인전문요양원
818,나눔재가복지센터
819,비전재가요양센터
820,행복드림재가노인복지센터
821,구미재가노인복지센터
822,바른재가노인복지센터
823,문수복지재단 남천재가노인지원서비스센터(남천방문요양센터)
824,용진노인복지센터
825,실버웰노인복지센터
826,(주)중앙노인복지센타
827,엄마아빠요양센터
828,수재가노인복지센터
829,봄봄재가요양센터
830,케어닥케어홈
831,이미지호(주)
832,휴:린포
833,유한책임회사하이모전주지점
834,모델로피부과의원
835,바디움 대구점
836,에스테티아광교1호점
837,육쌈냉면플랑드르점
838,(주)지엘파가니카클럽하우스・스타트하우스
839,본다빈치 주식회사
840,(주)두레
841,(주)한양컨트리클럽
842,영농조합법인 팔공김치
843,주식회사해담채시청
844,오라산업관리(주)
845,(주)정정당당
846,한국가스공사인천기지본부식당
847,선양식당
848,피피케이키친 경주점
849,올바른의원
850,주식회사 그린푸드
851,(주)엠제이디벨로프먼트앤드솔루션
852,로뎀해장국가평점
853,한뚝수육국밥 전주평화점
854,포락정
855,(주)우리집식품
856,사회복지법인성지어린이집
857,주식회사파네트리김영모
858,수주간보호센터
859,위례재활의학과병원
860,부성개발주식회사
861,씨제이프레시웨이주식회사
862,한솥도시락
863,주식회사 온유담
864,오산시청
865,센추리개발㈜
866,주식회사 세종트래비즈
867,이다모아
868,주식회사행복한세계여행
869,캠핑톡 주식회사(지점)
870,주식회사짱
871,(주)호텔일루아
872,탑클라우드호텔군산
873,투어뱅크 주식회사
874,유한책임회사 티지아이코리아(T.G.I KOREA)
875,주식회사동원산업
876,재단법인 순창발효관광재단
877,(주)케이원시스템
878,주식회사비체올린
879,주식회사한송
880,주)트립이지(TRIPEASY)
881,(주)산하에이치엠청풍리조트
882,펫빌리지
883,동행재가복지센터
884,(주)시민제과
885,사단법인놀이하는사람들
886,노인요양공동생활가정로뎀나무실버타운
887,효사랑홈케어
888,㈜소색채본
889,삼구아이앤씨
890,송파구청
891,둔포아람어린이집
892,의료법인성인의료재단이에이씨창원요양병원
893,쿠우쿠우 대구서구점
894,㈜파인씨앤케이
895,해피타임요양원
896,국공립해담어린이집
897,한무리Holylife
898,키움어린이집
899,사회복지법인성화대전재활병원
900,(주)동북엘앤알가평점
901,춘천경찰서 구내식당 운영위원회
902,어린이재단한사랑마을
903,은혜의집
904,의료법인평강의료재단
905,몬떼델피노주식회사
906,(주)경기그린환경
907,주식회사다굼
908,(주) 한덕엔지니어링
909,주식회사태강티엠에스
910,농업회사법인하늘농가(주)
911,(주)대명티엠에스
912,"주식회사지에스씨앤씨(GSC&CCo.,Ltd.)"
913,주식회사에코그린티엠
914,유한회사에코피아
915,월드유니텍주식회사
916,미건테크노월드(2차)관리단대표회의
917,(주)창성티앤씨
918,(주)에스씨월드
919,(유) 원광
920,키즈월드스위밍클럽
921,(주)유켄씨인터텍
922,삼우안전관리유한책임회사
923,(주)고도시스템
924,대진에스컴(주)
925,(주)노원알씨
926,주식회사하이테크주택
927,엘엑스파트너스 주식회사
928,다정한 실버케어
929,오산남부은빛사랑채
930,가자재가방문요양센터
931,성북재가노인복지센터
932,함안지역자활센터
933,동행재가노인복지센터
934,지온산후조리원
935,장원석치과의원
936,제일주간보호센터
937,의료법인빛고을의료재단
938,의료법인두암의료재단
939,의료법인우암의료재단진동태봉병원
940,사회복지법인SOS프란치스카의집
941,튼튼의원
942,(의)영웅의료재단
943,효인재활요양병원
944,박현우소아청소년과의원
945,아중요양병원
946,설명한의원
947,메디인병원
948,좋은사람들노인복지센터
949,원당오케이마취통증의학과의원
950,대전동부요양병원
951,온누리요양원
952,(주)무지개케어스
953,의료법인완주의료재단
954,중앙요양병원
955,의료법인 기호의료재단 동해요양병원
956,성심요양원
957,인천수봉요양원
958,자모의원
959,메트로내과의원
960,나디브심리치료센터
961,하늘내과의원
962,해남우리종합병원
963,수원새봄요양원
964,"대한결핵협회대구,경북지부"
965,참사랑데이케어센터
966,간호재활요양원
967,시애노병원부설전문요양센터
968,라인치과
969,해누리어린이집(장애아전문어린이집)
970,산청성모요양원
971,연세리더스치과교정과치과의원
972,연세예감치과의원
973,양평요양병원
974,충청북도충주의료원
975,인플란트치과의원
976,석정웰파크병원
977,미건주간보호센터
978,자향한방병원
979,박사요양원Ⅱ
980,주식회사 경기시니어
981,의료법인풍진의료재단
982,의료법인 영주의료재단
983,하동군노인장애인종합복지관(장애인)
984,안양시수리장애인종합복지관
985,중앙아동발달센터
986,채움늘사회서비스센터
987,더편한치과
988,리프톤피부과의원
989,(의)인산의료재단
990,해피케어하우스 재활주간보호
991,쁠리성형외과의원
992,대구가톨릭대학교의료원
993,의료법인 갑을의료재단 갑을녹산병원
994,청주프라임병원
995,바라봄의원
996,한국건강관리협회제주특별자치도지부
997,당진종합병원
998,(의)영서의료재단
999,정민치과
1000,(주)레즈메드헬스케어코리아
1001,(주)동구바이오제약
1002,양심55플란트치과
1003,화사의원
1004,스타로미안연합의원
1005,사직요양병원
1006,포레힐요양병원
1007,삼성플란트치과
1008,서면어린이치과의원
1009,(의)참예원의료재단 서초참요양병원
1010,주식회사송원테크
1011,서우실업(주)
1012,주식회사영오산업
1013,(주)풍산메탈서비스
1014,에스케이(SK) 메탈
1015,(주) 경원티엔씨
1016,유성정밀공업주식회사
1017,이런산업
1018,C&B
1019,한국무브넥스(주)
1020,(주)삼보에스티
1021,주식회사남원정공
1022,대광ENG
1023,(주)대양볼트
1024,피엔케이(PNK)
1025,주식회사삼진스프링
1026,주식회사21세기
1027,(주)에스제이에이치
1028,제일밴딩롤링
1029,프롬테크주식회사
1030,주식회사모콘
1031,우성다이아몬드
1032,서광TECH
1033,(주)한영정공
1034,주식회사제이지
1035,(주)대덕기계
1036,하나테크 HNT
1037,주식회사대덕테크
1038,서우산업주식회사
1039,(주)성우하이테크
1040,현대글로벌주식회사
1041,유한회사 태왕
1042,(주)하인스
1043,삼영엠텍(주)
1044,제이이에스
1045,B&P
1046,도나컨설팅(주)
1047,나성시스템
1048,주식회사경동나비엔
1049,(주)대양
1050,로드엘 주식회사
1051,주식회사태원산업
1052,에스제이산업
1053,(주)한양포장기계
1054,건양공업(주)
1055,(주)덕진
1056,(주)서정오토
1057,주식회사기원전자
1058,주식회사미래기술
1059,주식회사 대성에이치이
1060,대진산업
1061,경동기술
1062,주식회사 동성테크
1063,(주)발터이엔지
1064,(주)풍림정공
1065,주식회사유진에어텍
1066,(주)인화베바스토지점
1067,주식회사 하스파파
1068,주식회사킴
1069,(주)성주엠.아이(대전공장지점)
1070,(주)센스테크코리아
1071,(주)한미기술
1072,주식회사대신엘리베이터
1073,에스씨엠
1074,주식회사 에코라임
1075,패밀리몰
1076,신성엘리베이터(주)
1077,대명엘리베이터
1078,(주)EG테크
1079,(주)한영
1080,주식회사 울트라2공장
1081,신영기계기술
1082,(주)엔티렉스
1083,주식회사로뎀이엔지
1084,주식회사엠에스코리아
1085,주식회사 포스코피에이치솔루션
1086,주식회사와이케이건기
1087,유한회사에이치에스테크
1088,(주)일진이플러스
1089,금아기전
1090,공우이엔씨주식회사
1091,주)진양
1092,(주)고암
1093,주식회사 캠코시설관리
1094,신우산업관리(주)
1095,서울대학교시스템면역의학연구소
1096,(주)한국메탈 서산공장
1097,영남대학 영천병원
1098,(주)디엠티
